#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
48.942	543	48.967	354
48.993	542	49.017	367
49.043	534	49.069	382
49.094	522	49.119	405
49.144	501	49.170	433
49.196	478	49.220	462
49.246	451	49.271	493
49.297	424	49.322	524
49.347	395	49.373	552
49.398	367	49.423	577
49.449	343	49.474	596
49.500	323	49.524	609
49.550	308	49.576	615
49.601	301	49.626	615
49.651	298	49.677	607
49.703	303	49.727	593
49.753	313	49.778	572
49.804	330	49.828	547
49.854	351	49.880	517
49.905	377	49.930	488
49.955	405	49.981	457
50.007	432	50.031	428
50.057	459	50.082	401
50.108	484	50.133	379
50.158	505	50.184	364
50.209	522	50.234	354
50.260	533	50.285	352
50.311	537	50.335	357
50.361	536	50.387	368
50.412	527	50.437	385
50.462	513	50.488	408
50.514	494	50.538	435
50.564	471	50.589	466
50.615	443	50.639	496
50.665	417	50.691	526
50.716	389	50.741	555
50.766	364	50.792	578
50.818	342	50.842	597
50.868	324	50.893	608
50.919	311	50.944	615
50.969	304	50.995	612
51.020	304	51.045	605
51.071	309	51.096	590
51.122	320	51.146	569
51.172	338	51.198	544
51.223	359	51.248	516
51.273	382	51.299	485
51.325	410	51.349	455
51.375	436	51.400	426
51.426	463	51.450	400
51.476	486	51.502	379
51.527	506	51.553	362
51.577	520	51.603	355
51.629	530	51.654	353
51.679	533	51.704	358
51.730	530	51.756	370
51.780	521	51.806	389
51.831	506	51.857	411
51.882	484	51.907	439
51.933	463	51.958	468
51.983	438	52.009	498
52.034	412	52.060	528
52.084	386	52.110	556
52.136	361	52.161	579
52.186	340	52.211	596
52.237	324	52.263	607
52.287	312	52.313	613
52.338	308	52.364	611
52.388	308	52.414	600
52.440	315	52.465	587
52.490	328	52.515	567
52.541	346	52.567	541
52.591	367	52.617	512
52.642	391	52.668	483
52.693	417	52.718	453
52.744	443	52.769	424
52.794	467	52.820	400
52.845	489	52.871	380
52.895	507	52.921	365
52.947	520	52.972	357
52.997	527	53.022	355
53.048	529	53.074	359
53.098	524	53.124	373
53.149	513	53.175	392
53.199	498	53.225	415
53.251	479	53.276	442
53.301	456	53.326	471
53.352	430	53.378	501
53.402	405	53.428	530
53.453	380	53.479	556
53.504	358	53.529	579
53.555	339	53.580	595
53.605	324	53.631	606
53.656	315	53.682	610
53.706	311	53.732	608
53.758	313	53.783	599
53.808	321	53.833	583
53.859	335	53.885	563
53.909	352	53.935	537
53.960	375	53.986	510
54.010	399	54.036	481
54.062	423	54.087	451
54.112	447	54.137	424
54.163	471	54.189	400
54.213	492	54.239	381
54.264	508	54.290	368
54.315	519	54.340	359
54.366	525	54.391	358
54.416	525	54.442	365
54.467	520	54.493	377
54.517	507	54.543	395
54.569	491	54.594	419
54.619	472	54.644	445
54.670	448	54.696	474
54.720	424	54.746	502
54.771	399	54.797	530
54.822	376	54.847	557
54.873	354	54.898	577
54.923	337	54.948	593
54.974	323	55.000	604
55.024	316	55.050	608
55.075	314	55.101	604
55.126	317	55.151	596
55.177	327	55.202	580
55.227	341	55.253	559
55.278	362	55.304	535
55.328	381	55.354	507
55.380	405	55.405	478
55.430	429	55.455	450
55.481	453	55.507	422
55.531	475	55.557	400
55.582	494	55.608	382
55.633	509	55.658	368
55.684	519	55.709	363
55.734	523	55.759	362
55.785	521	55.811	368
55.835	514	55.861	381
55.886	503	55.912	399
55.937	485	55.962	422
55.988	464	56.013	448
56.039	442	56.064	476
56.089	419	56.115	504
56.140	393	56.165	532
56.191	370	56.216	557
56.242	351	56.266	575
56.292	335	56.318	592
56.343	323	56.368	601
56.393	317	56.419	604
56.445	317	56.469	600
56.495	322	56.520	591
56.546	331	56.570	577
56.596	346	56.622	556
56.647	366	56.672	531
56.697	388	56.723	504
56.749	412	56.773	476
56.799	436	56.824	449
